"compiler","mode","order","comparison","n","ratio","lo","hi"
"gcc","lat","blocked","Exp 4: 16-key fusion vs 8-key fusion",1024,1.03901359829938,1.02858848786477,1.04727791518965
"gcc","tput","blocked","Exp 4: 16-key fusion vs 8-key fusion",1024,0.958603091162693,0.952123909220611,0.973287334473019
"clang","lat","shuffled","Exp 4: 16-key fusion vs 8-key fusion",1024,1.03846146616718,1.02809459143058,1.04344854429684
"gcc","lat","shuffled","Exp 4: 16-key fusion vs 8-key fusion",1024,1.02526489880077,1.01275062857143,1.02755702879822
"clang","tput","shuffled","Exp 4: 16-key fusion vs 8-key fusion",1024,0.915816793954611,0.892617102472373,0.922783440352008
"gcc","tput","shuffled","Exp 4: 16-key fusion vs 8-key fusion",1024,0.900679398726274,0.892687717206686,0.926130643385245
"gcc","lat","blocked","Exp 4: 16-key fusion vs best B-tree",1024,2.58525524990387,2.56297308515649,2.5925767604339
"gcc","tput","blocked","Exp 4: 16-key fusion vs best B-tree",1024,4.20663148443369,4.07168921477504,4.23537479183179
"clang","lat","shuffled","Exp 4: 16-key fusion vs best B-tree",1024,2.39742152466368,2.38013755062748,2.39971766749919
"gcc","lat","shuffled","Exp 4: 16-key fusion vs best B-tree",1024,2.55790418219998,2.53736307535837,2.57002263780422
"clang","tput","shuffled","Exp 4: 16-key fusion vs best B-tree",1024,3.75876803458619,3.6532004032004,3.85962798275687
"gcc","tput","shuffled","Exp 4: 16-key fusion vs best B-tree",1024,4.07574211219567,3.94416949294477,4.16866697371154
"gcc","lat","blocked","original fusion vs binary search",1024,2.9836524692375,2.98100252955449,2.99379383387366
"gcc","tput","blocked","original fusion vs binary search",1024,7.38427427129161,7.35350585766742,7.68283280268479
"clang","lat","shuffled","original fusion vs binary search",1024,1.49666418015524,1.48393866751097,1.50515012453357
"gcc","lat","shuffled","original fusion vs binary search",1024,3.06518101612413,3.03579943090056,3.0990591606009
"clang","tput","shuffled","original fusion vs binary search",1024,1.35690845242764,1.34253532340639,1.36103513883108
"gcc","tput","shuffled","original fusion vs binary search",1024,7.65938289806234,7.54483515717572,7.7672644815502
"gcc","lat","blocked","original fusion vs branch-free B-tree",1024,1.74164165824675,1.73873758987611,1.75092215248238
"gcc","tput","blocked","original fusion vs branch-free B-tree",1024,2.06310279530224,2.05600019520765,2.13080958267901
"clang","lat","shuffled","original fusion vs branch-free B-tree",1024,1.66654880009607,1.64651760352505,1.67428596558292
"gcc","lat","shuffled","original fusion vs branch-free B-tree",1024,1.76929254823367,1.75976669886321,1.77269328328666
"clang","tput","shuffled","original fusion vs branch-free B-tree",1024,1.98023858764404,1.96251977637241,1.99973355813456
"gcc","tput","shuffled","original fusion vs branch-free B-tree",1024,2.10356313085058,2.09990203305657,2.14057861921061
"gcc","lat","blocked","branch-free rank vs original rank",2048,1.10181340721289,1.09499673909687,1.1091918223628
"gcc","tput","blocked","branch-free rank vs original rank",2048,1.05912005420431,1.05278907236378,1.06328778545351
"clang","lat","shuffled","branch-free rank vs original rank",2048,1.04047148905349,1.03241878017706,1.05031098138018
"gcc","lat","shuffled","branch-free rank vs original rank",2048,1.09214265138394,1.08528328071833,1.1007445343965
"clang","tput","shuffled","branch-free rank vs original rank",2048,1.00808272382607,1.00155429375967,1.00937135389929
"gcc","tput","shuffled","branch-free rank vs original rank",2048,1.05338964966347,1.0427214860831,1.06428174005424
"gcc","lat","blocked","compact 128-B node vs 184-B node",2048,0.974224941382121,0.970957154530872,0.974279680067955
"gcc","tput","blocked","compact 128-B node vs 184-B node",2048,1.01185100415545,0.963738933513133,1.01985665587022
"clang","lat","shuffled","compact 128-B node vs 184-B node",2048,0.956846289604731,0.954394618909886,0.957156329920624
"gcc","lat","shuffled","compact 128-B node vs 184-B node",2048,0.956920987891507,0.94122954609674,0.961967145421305
"clang","tput","shuffled","compact 128-B node vs 184-B node",2048,0.953854718426695,0.953826433409664,0.954142353822395
"gcc","tput","shuffled","compact 128-B node vs 184-B node",2048,0.960557833513364,0.958950811055467,0.964866859211798
"gcc","lat","blocked","equal footprint: compact fusion vs aligned B-tree",2048,2.20046013879105,2.19978822645348,2.20336532041132
"gcc","tput","blocked","equal footprint: compact fusion vs aligned B-tree",2048,3.50709850885852,3.30191083602215,3.52764351539966
"clang","lat","shuffled","equal footprint: compact fusion vs aligned B-tree",2048,1.93249628548864,1.91540524234095,1.93413177755472
"gcc","lat","shuffled","equal footprint: compact fusion vs aligned B-tree",2048,2.1778802150689,2.17166374028553,2.1886149172087
"clang","tput","shuffled","equal footprint: compact fusion vs aligned B-tree",2048,2.90034692543617,2.81907589027017,2.92574759968468
"gcc","tput","shuffled","equal footprint: compact fusion vs aligned B-tree",2048,3.32713747610305,3.2082675219137,3.34905125214321
